### HEADINGS ###
ST/*ST 反转预期 · 全13只统一优先级排序（工作流分析）
一、最终排序总表
二、新增标的速览（本次加入）
三、逐只明细（按优先级）
四、关键结论

### TABLES ###

=== TABLE 0 ===

优先级 | 标的 | 状态 | 现价 | 涨跌幅 | 总市值(亿) | 换手% | 四维综合分
1 | ST人福 600079 | ST | 17.86 | -1.05% | 291.5 | 0.72 | 4.475
2 | ST龙大 002726 | ST | 2.95 | +10.07% | 40.1 | 10.36 | 4.325
3 | ST京蓝 000711 | ST | 6.11 | -0.33% | 180.5 | 4.49 | 4.075
4 | *ST发展 000838 | *ST | 2.75 | +4.96% | 30.3 | 4.19 | 3.750
5 | ST美克 600337 | ST | 3.12 | +3.65% | 44.8 | 1.41 | 3.750
6 | ST惠程 002168 | ST | 3.82 | +1.60% | 30.0 | 0.51 | 3.675
7 | *ST春天 600381 | *ST | 4.91 | +9.35% | 28.8 | 2.38 | 3.600
8 | *ST香雪 300147 | *ST | 7.09 | +2.31% | 46.9 | 1.37 | 3.150
9 | *ST中岩 002542 | *ST | 1.82 | +4.60% | 32.9 | 2.30 | 2.725
10 | ST华谊 300027 | ST | 1.77 | +0.57% | 49.1 | 1.28 | 2.675
11 | ST银江 300020 | ST | 3.36 | +1.51% | 26.7 | 1.00 | 2.650
12 | *ST华幸 600340 | *ST | 1.09 | +0.93% | 42.4 | 0.98 | 1.875
13 | *ST三房 600370 | *ST | 1.47 | +2.08% | 59.1 | 0.34 | 1.800

### PLAIN (method hints) ###
